,date,count_w_1day
0,2020-04-01,66
1,2020-04-02,97
2,2020-04-03,89
3,2020-04-04,117
4,2020-04-05,143
5,2020-04-06,82
6,2020-04-07,79
7,2020-04-08,144
8,2020-04-09,178
9,2020-04-10,189
10,2020-04-11,197
11,2020-04-12,165
12,2020-04-13,91
13,2020-04-14,161
14,2020-04-15,127
15,2020-04-16,147
16,2020-04-17,201
17,2020-04-18,181
18,2020-04-19,107
19,2020-04-20,102
20,2020-04-21,123
21,2020-04-22,131
22,2020-04-23,134
23,2020-04-24,161
24,2020-04-25,103
25,2020-04-26,72
26,2020-04-27,39
27,2020-04-28,112
28,2020-04-29,47
29,2020-04-30,46
30,2020-05-01,165
31,2020-05-02,160
32,2020-05-03,90
33,2020-05-04,87
34,2020-05-05,56
35,2020-05-06,38
36,2020-05-07,23
37,2020-05-08,39
38,2020-05-09,36
39,2020-05-10,22
40,2020-05-11,91
41,2020-05-12,28
42,2020-05-13,40
43,2020-05-14,9
44,2020-05-15,0
45,2020-05-16,14
46,2020-05-17,5
47,2020-05-18,10
48,2020-05-19,5
49,2020-05-20,5
50,2020-05-21,58
51,2020-05-22,5
52,2020-05-23,0
53,2020-05-24,14
54,2020-05-25,8
55,2020-05-26,9
56,2020-05-27,11
57,2020-05-28,15
58,2020-05-29,22
59,2020-05-30,14
60,2020-05-31,5
61,2020-06-01,13
62,2020-06-02,34
63,2020-06-03,12
64,2020-06-04,28
65,2020-06-05,20
66,2020-06-06,26
67,2020-06-07,14
68,2020-06-08,13
69,2020-06-09,12
70,2020-06-10,18
71,2020-06-11,22
72,2020-06-12,25
73,2020-06-13,24
74,2020-06-14,47
75,2020-06-15,48
76,2020-06-16,25
77,2020-06-17,16
78,2020-06-18,41
79,2020-06-19,35
80,2020-06-20,39
81,2020-06-21,35
82,2020-06-22,26
83,2020-06-23,31
84,2020-06-24,55
85,2020-06-25,48
86,2020-06-26,54
87,2020-06-27,57
88,2020-06-28,59
89,2020-06-29,58
90,2020-06-30,54
91,2020-07-01,67
92,2020-07-02,107
93,2020-07-03,124
94,2020-07-04,131
95,2020-07-05,111
96,2020-07-06,102
97,2020-07-07,106
98,2020-07-08,75
99,2020-07-09,224
100,2020-07-10,243
101,2020-07-11,206
102,2020-07-12,206
103,2020-07-13,119
104,2020-07-14,143
105,2020-07-15,165
106,2020-07-16,286
107,2020-07-17,293
108,2020-07-18,290
109,2020-07-19,188
110,2020-07-20,168
111,2020-07-21,237
112,2020-07-22,238
113,2020-07-23,366
114,2020-07-24,260
115,2020-07-25,295
116,2020-07-26,239
117,2020-07-27,131
118,2020-07-28,266
119,2020-07-29,250
120,2020-07-30,367
121,2020-07-31,463
122,2020-08-01,472
123,2020-08-02,292
124,2020-08-03,258
125,2020-08-04,309
126,2020-08-05,263
127,2020-08-06,360
128,2020-08-07,462
129,2020-08-08,429
130,2020-08-09,331
131,2020-08-10,197
132,2020-08-11,188
133,2020-08-12,222
134,2020-08-13,206
135,2020-08-14,389
136,2020-08-15,385
137,2020-08-16,260
138,2020-08-17,161
139,2020-08-18,207
140,2020-08-19,186
141,2020-08-20,339
142,2020-08-21,258
143,2020-08-22,256
144,2020-08-23,212
145,2020-08-24,95
146,2020-08-25,182
147,2020-08-26,236
148,2020-08-27,250
149,2020-08-28,226
150,2020-08-29,247
151,2020-08-30,148
152,2020-08-31,100
153,2020-09-01,170
154,2020-09-02,141
155,2020-09-03,211
156,2020-09-04,136
157,2020-09-05,181
158,2020-09-06,116
159,2020-09-07,77
160,2020-09-08,170
161,2020-09-09,149
162,2020-09-10,276
163,2020-09-11,187
164,2020-09-12,226
165,2020-09-13,146
166,2020-09-14,80
167,2020-09-15,191
168,2020-09-16,163
169,2020-09-17,171
170,2020-09-18,220
171,2020-09-19,218
172,2020-09-20,162
173,2020-09-21,98
174,2020-09-22,88
175,2020-09-23,59
176,2020-09-24,195
177,2020-09-25,195
178,2020-09-26,270
179,2020-09-27,144
180,2020-09-28,78
181,2020-09-29,209
182,2020-09-30,194
183,2020-10-01,235
184,2020-10-02,196
185,2020-10-03,207
186,2020-10-04,108
187,2020-10-05,66
188,2020-10-06,177
189,2020-10-07,142
190,2020-10-08,248
191,2020-10-09,203
192,2020-10-10,249
193,2020-10-11,146
194,2020-10-12,78
195,2020-10-13,166
196,2020-10-14,177
197,2020-10-15,284
198,2020-10-16,184
199,2020-10-17,235
200,2020-10-18,129
201,2020-10-19,78
202,2020-10-20,139
203,2020-10-21,150
204,2020-10-22,185
205,2020-10-23,186
206,2020-10-24,203
207,2020-10-25,116
208,2020-10-26,102
209,2020-10-27,158
210,2020-10-28,171
211,2020-10-29,221
212,2020-10-30,204
213,2020-10-31,215
214,2020-11-01,110
215,2020-11-02,87
216,2020-11-03,209
217,2020-11-04,122
