,address,group_code,office_no,public_office_classification,public_office_name
0,千代田区九段南1-2-1,13101,#p1,1,千代田区役所
7,中央区築地1-1-1,13102,#p8,1,中央区役所
10,港区芝公園1-5-25,13103,#p11,1,港区役所
16,新宿区歌舞伎町1-4-1,13104,#p17,1,新宿区役所
27,文京区春日1-16-21,13105,#p28,1,文京区役所
28,台東区東上野4-5-6,13106,#p29,1,台東区役所
29,墨田区吾妻橋1-23-20,13107,#p30,1,墨田区役所
35,江東区東陽4-11-28,13108,#p36,1,江東区役所
44,品川区広町2-1-36,13109,#p45,1,品川区役所
45,目黒区上目黒2-19-15,13110,#p46,1,目黒区役所
46,大田区蒲田5-13-14,13111,#p47,1,大田区役所
65,世田谷区世田谷4-21-27,13112,#p66,1,世田谷区役所
77,渋谷区宇田川町1-1,13113,#p78,1,渋谷区役所
87,中野区中野4-8-1,13114,#p88,1,中野区役所
88,杉並区阿佐谷南1-15-1,13115,#p89,1,杉並区役所
89,豊島区東池袋1-18-1,13116,#p90,1,豊島区役所
90,北区王子本町1-15-22,13117,#p91,1,北区役所
91,荒川区荒川2-2-3,13118,#p92,1,荒川区役所
92,板橋区板橋2-66-1,13119,#p93,1,板橋区役所
94,練馬区豊玉北6-12-1,13120,#p95,1,練馬区役所
108,足立区中央本町1-17-1,13121,#p109,1,足立区役所
109,葛飾区立石5-13-1,13122,#p110,1,葛飾区役所
110,江戸川区中央1-4-1,13123,#p111,1,江戸川区役所
111,八王子市元本郷町3-24-1,13201,#p112,1,八王子市役所
112,立川市泉町1156-9,13202,#p113,1,立川市役所
116,武蔵野市緑町2-2-28,13203,#p117,1,武蔵野市役所
117,三鷹市野崎1-1-1,13204,#p118,1,三鷹市役所
118,青梅市東青梅1-11-1,13205,#p119,1,青梅市役所
123,府中市宮西町2-24,13206,#p124,1,府中市役所
126,昭島市田中町1-17-1,13207,#p127,1,昭島市役所
128,調布市小島町2-35-1,13208,#p129,1,調布市役所
130,町田市森野2-2-22,13209,#p131,1,町田市役所
131,小金井市本町6-6-3,13210,#p132,1,小金井市役所
134,小平市小川町2-1333,13211,#p135,1,小平市役所
135,日野市神明1-12-1,13212,#p136,1,日野市役所
138,東村山市本町1-2-3,13213,#p139,1,東村山市役所
139,国分寺市戸倉1-6-1,13214,#p140,1,国分寺市役所
140,国立市富士見台2-47-1,13215,#p141,1,国立市役所
141,福生市本町5,13218,#p142,1,福生市役所
142,狛江市和泉本町1-1-5,13219,#p143,1,狛江市役所
143,東大和市中央3-930,13220,#p144,1,東大和市役所
144,清瀬市中里5-842,13221,#p145,1,清瀬市役所
147,東久留米市本町3-3-1,13222,#p148,1,東久留米市役所
151,武蔵村山市本町1-1-1,13223,#p152,1,武蔵村山市役所
153,多摩市関戸6-12-1,13224,#p154,1,多摩市役所
156,稲城市東長沼2111,13225,#p157,1,稲城市役所
159,羽村市緑ヶ丘5-2-1,13227,#p160,1,羽村市役所
160,あきる野市二宮350,13228,#p161,1,あきる野市役所
163,西東京市南町5-6-13,13229,#p164,1,西東京市役所
167,瑞穂町大字箱根ヶ崎2335,13303,#p168,1,瑞穂町役場
168,日の出町大字平井2780,13305,#p169,1,日の出町役場
169,檜原村467-1,13307,#p170,1,檜原村役場
170,奥多摩町氷川215-6,13308,#p171,1,奥多摩町役場
172,大島町元町1-1-14,13361,#p173,1,大島町役場
179,利島村248,13362,#p180,1,利島村役場
180,新島村本村1-1-1,13363,#p181,1,新島村役場
183,神津島村904,13364,#p184,1,神津島村役場
184,三宅村阿古497,13381,#p185,1,三宅村役場
189,御蔵島村字入りかねが沢,13382,#p190,1,御蔵島村役場
190,八丈町大賀郷2551-2,13401,#p191,1,八丈町役場
195,青ヶ島村無番地,13402,#p196,1,青ヶ島村役場
196,小笠原村父島字西町,13421,#p197,1,小笠原村役場
